image,category,model,dice,iou,hd95,accuracy
1117,hard case,proposed,0.0,0.0,96.81424192751432,0.9924583435058594
1053,hard case,proposed,0.0,0.0,56.97013632284151,0.9839248657226562
2452,hard case,proposed,0.0,0.0,724.0773439350247,0.9905204772949219
1893,hard case,proposed,0.0,0.0,70.98555928424129,0.9880218505859375
980,hard case,proposed,0.0,0.0,71.14209262329572,0.9895896911621094
2443,hard case,proposed,0.0,0.0,724.0773439350247,0.9717063903808594
2185,hard case,proposed,0.0,0.0,119.03465858208402,0.9820289611816406
2104,hard case,proposed,0.0,0.0,197.2772158722552,0.9763259887695312
627,good case,proposed,0.9763335214259634,0.9537613488975357,3.0,0.9972801208496094
595,good case,proposed,0.9738594573104066,0.9490507555211158,2.23606797749979,0.9989967346191406
1248,good case,proposed,0.972279423412007,0.9460542540073983,2.0,0.9993324279785156
626,good case,proposed,0.9709793491864831,0.9435955910300267,4.0,0.9971694946289062
134,good case,proposed,0.9693261678379496,0.9404781004331783,2.8284271247461903,0.9985847473144531
385,good case,proposed,0.9692587776332899,0.9403512313282196,3.0,0.9977455139160156
705,good case,proposed,0.9677291625420709,0.937476026083621,3.605551275463989,0.9981346130371094
360,good case,proposed,0.966426318161334,0.9350337911488991,2.23606797749979,0.9988632202148438
