n,image,Dice,IoU,Accuracy,HD95_px,Latency_s,Seed_rc,Otsu_Dice
1,1.png,0.8950381679400441,0.8100172711608133,0.9962234497070312,9.899494936611665,0.07567395800001009,"(216, 328)",0.1816807184769481
2,2.png,0.695671878542974,0.5333564975731601,0.9846305847167969,30.870698080866262,0.07135083299999678,"(205, 318)",0.15721780951763717
3,3.png,0.9444197421078779,0.8946925021071357,0.9957084655761719,6.028966885604369,0.08188574999999787,"(211, 326)",0.18686222222294502
4,4.png,0.12021973379336341,0.06395414185608683,0.968231201171875,57.09014406841344,0.08766245900000058,"(216, 323)",0.16110165501832371
5,5.png,0.0021310602113112143,0.001066666675546074,0.9571304321289062,73.77396898074228,0.0589224169999909,"(221, 339)",0.20210730550611972
6,6.png,0.28696505397171884,0.16751850547085373,0.9639625549316406,56.22277118748239,0.048646374999975706,"(217, 287)",0.110655878811807
7,7.png,0.8049596536153324,0.673583662724849,0.9962196350097656,36.68787265568828,0.042175000000014506,"(216, 284)",0.1345660350858278
8,8.png,0.7151323587571092,0.5565805658192934,0.9944992065429688,35.6931365951495,0.054472416999999496,"(221, 284)",0.12981220657617443
9,9.png,0.5745986163741731,0.4031135531244851,0.9875679016113281,48.20985434576993,0.05041370799997935,"(286, 246)",0.06746682495541367
10,10.png,0.8476841778077762,0.7356352846038404,0.9962615966796875,9.776452837537915,0.05815658299999882,"(288, 267)",0.07672962483924789
11,11.png,0.9516899965862778,0.9078326005551566,0.9978408813476562,5.385164807134504,0.04527537500001699,"(290, 273)",0.12913229678790625
12,12.png,0.7776708373453828,0.6362204724457189,0.9894256591796875,30.851200602815226,0.045794999999998254,"(290, 275)",0.5348863088410739
13,13.png,0.7800228745727791,0.6393750000045078,0.9889945983886719,31.846475379428366,0.042308084000012514,"(290, 275)",0.19562772044897098
14,14.png,0.5824713265545013,0.4109062042048674,0.9631996154785156,37.48332962798263,0.07645995900000457,"(290, 274)",0.19329819169068657
15,15.png,0.9082426127539108,0.8319088319128227,0.9972991943359375,7.0710678118654755,0.05776566699998398,"(293, 274)",0.15464291857137874
16,16.png,0.721821210454091,0.5647263249726562,0.9980888366699219,16.04182308941495,0.04890837499999634,"(204, 257)",0.06893315257550875
17,17.png,0.8700705687034024,0.7700220426241726,0.9976119995117188,12.041594578792296,0.06394508400001087,"(188, 263)",0.20231298492557304
18,18.png,0.9073088770678435,0.8303434136427297,0.9987373352050781,5.873213921133976,0.06025762499999132,"(185, 262)",0.21403912543685072
19,19.png,0.7460701330262351,0.5949855352367419,0.9983978271484375,9.979898987322331,0.04628912499998705,"(184, 265)",0.07423187219111649
20,20.png,0.8076487608528412,0.6773580924313704,0.9941673278808594,13.892443989449804,0.059181166000001895,"(304, 278)",0.2633606375945833
21,21.png,0.9085003711960978,0.8323414385337129,0.9962387084960938,11.598668929814732,0.07202283399999487,"(305, 280)",0.44556626383435033
22,22.png,0.9255029907564243,0.8613360323906689,0.9963417053222656,11.311429893304119,0.04551145800002132,"(304, 277)",0.13073510186103915
23,23.png,0.9602590521051884,0.9235560588915901,0.9984550476074219,4.006155281280877,0.044315124999997124,"(303, 270)",0.313707739983588
24,24.png,0.5936203690517291,0.42209113101256934,0.9891624450683594,36.480709549309964,0.06997170900001493,"(269, 303)",0.14574898785677545
25,25.png,0.6619737016913007,0.494738931913942,0.9902915954589844,50.16253680445784,0.14093979200001172,"(274, 301)",0.16062111020569364
26,26.png,0.4689430894481645,0.30628717080262163,0.9937705993652344,50.81435768971308,0.0660092910000003,"(375, 217)",0.015318951128303802
27,27.png,0.8216989066517368,0.6973590292864126,0.998382568359375,9.0,0.05786408399998777,"(150, 202)",0.03169683258028089
28,28.png,0.8665977249258894,0.7645985401567246,0.9980316162109375,7.0,0.048763250000007474,"(187, 194)",0.09165941513305471
29,29.png,0.9438301636452332,0.8936348408739913,0.9985466003417969,3.605551275463989,0.05306608300000448,"(196, 193)",0.2079083322320575
30,30.png,0.8217133510547769,0.6973798368957594,0.99334716796875,31.626817749475112,0.051436125999998694,"(193, 192)",0.2869089250445229
31,31.png,0.9252626552062408,0.8609197956040675,0.9976119995117188,4.123105625617661,0.058445041999988234,"(189, 192)",0.2940953024129739
32,32.png,0.8688873139640523,0.7681704260724257,0.9971771240234375,13.001920240520263,0.05149291699999026,"(235, 227)",0.13384373881431563
33,33.png,0.7039938849664821,0.5432025951181598,0.9940910339355469,55.940946930938836,0.04849670799998762,"(244, 227)",0.11562678878357938
34,34.png,0.5920398010457663,0.4204946997490292,0.998748779296875,17.0,0.053816000000011854,"(139, 253)",0.008381061897118174
35,35.png,0.9061135371281536,0.8283433134075163,0.9996719360351562,2.8284271247461903,0.052451208999997334,"(378, 262)",0.009362379146769712
36,36.png,0.9344955097745775,0.8770451165157638,0.999053955078125,4.894427190999922,0.044505084000007855,"(214, 251)",0.1286947423521965
37,37.png,0.9510155316616683,0.9066059225547985,0.9990615844726562,3.0,0.04784795800000552,"(214, 252)",0.1710951726219068
38,38.png,0.9390144738991866,0.8850398528545359,0.9985694885253906,5.70037866083061,0.05938000000000443,"(212, 252)",0.18542741644202376
39,39.png,0.9492438987880035,0.9033912795695813,0.9987068176269531,2.8284271247461903,0.06803891699999554,"(211, 249)",0.2383799421437285
40,40.png,0.9536925460500311,0.9114840408058084,0.9989738464355469,2.8284271247461903,0.053124916000001576,"(211, 251)",0.21561724938308816
41,41.png,0.9002899843876804,0.8186612576138474,0.9982948303222656,5.074264635194588,0.0507992500000114,"(209, 253)",0.16847970284262634
42,42.png,0.7486157253638883,0.5982300885057338,0.9939384460449219,22.653830723571502,0.04774820800000157,"(273, 302)",0.11736716891581855
43,43.png,0.9175587376627616,0.8476753146712644,0.9977378845214844,7.0710678118654755,0.04938895800000864,"(267, 298)",0.18971768202321035
44,44.png,0.7815970386096881,0.6414930555711158,0.9968490600585938,14.475380228211392,0.04944308299999989,"(267, 298)",0.0953229398694695
45,45.png,0.9430290872623568,0.892199658381245,0.997833251953125,5.830951894845301,0.06163545900000145,"(199, 172)",0.10315820984971995
46,46.png,0.938919342208779,0.8848708487101864,0.9970245361328125,12.041594578792296,0.05105000000000359,"(198, 175)",0.12685798987202326
47,47.png,0.8989182479171935,0.8163955548427058,0.9956512451171875,13.92838827718412,0.05106516700001862,"(196, 181)",0.11455153042630473
48,48.png,0.854808015226074,0.7464320625660521,0.9950523376464844,20.921729063243554,0.06556970799999817,"(198, 185)",0.09736263193131305
49,49.png,0.8605958403636708,0.7553034040574591,0.99810791015625,7.0319805153394634,0.0731288759999984,"(293, 353)",0.03419687205805879
50,50.png,0.7242788742295424,0.5677407543103672,0.9909934997558594,27.529456820661945,0.06696895900000754,"(312, 348)",0.09038452828561948
