filename,class,dice,iou,true_px,pred_px
benign (233).png,benign,1.9523623580725569e-10,1.9523623580725569e-10,5122,0
benign (422).png,benign,2.274277916244194e-10,2.274277916244194e-10,4297,100
benign (367).png,benign,2.3435669082860165e-10,2.3435669082860165e-10,3868,399
malignant (82).png,malignant,2.8328611889991895e-10,2.8328611889991895e-10,3530,0
benign (304).png,benign,3.00030002910282e-10,3.00030002910282e-10,3333,0
benign (273).png,benign,3.074085458630776e-10,3.074085458630776e-10,3253,0
benign (335).png,benign,4.859086489378481e-10,4.859086489378481e-10,2058,0
benign (225).png,benign,7.047216344575605e-10,7.047216344575605e-10,1419,0
benign (292).png,benign,7.849293557418136e-10,7.849293557418136e-10,1274,0
benign (288).png,benign,8.718395807568965e-10,8.718395807568965e-10,1147,0
benign (201).png,benign,1.2048192756568442e-09,1.2048192756568442e-09,783,47
benign (418).png,benign,1.3458950183769918e-09,1.3458950183769918e-09,743,0
benign (416).png,benign,1.3850415493281973e-09,1.3850415493281973e-09,722,0
benign (413).png,benign,2.785515312575166e-09,2.785515312575166e-09,359,0
benign (248).png,benign,2.801120440332996e-09,2.801120440332996e-09,357,0
malignant (106).png,malignant,0.0022979705085032667,0.0011503071314607719,1816,795
malignant (75).png,malignant,0.021958666097818304,0.011101217037037625,7407,9625
malignant (198).png,malignant,0.035659391429894514,0.01815336473467362,2691,7068
malignant (43).png,malignant,0.06489155357286243,0.033533807239321194,9630,7383
malignant (18).png,malignant,0.13216898769597143,0.07076067751560255,2115,2122
benign (359).png,benign,0.23242994964804087,0.13149688172258397,506,3848
benign (90).png,benign,0.29407566074655556,0.1723849379310586,206,1195
benign (426).png,benign,0.35788643538187015,0.217942560828168,9729,2951
benign (388).png,benign,0.4555052798559498,0.2949218763771057,507,156
benign (235).png,benign,0.4714611873654506,0.30843913394009,2538,966
benign (374).png,benign,0.4856321846470802,0.32068311324348553,169,527
benign (360).png,benign,0.4947068404937485,0.32864484735497845,1246,3666
malignant (96).png,malignant,0.5565006075693397,0.3855218855908505,6789,5556
malignant (176).png,malignant,0.5570014805924568,0.3860028081449397,3655,9178
benign (315).png,benign,0.5956354301682814,0.42413162731986676,1006,2110
malignant (95).png,malignant,0.6361698639717708,0.4664582833694498,3414,2685
benign (267).png,benign,0.6436614603546453,0.4745581149038253,926,1827
malignant (37).png,malignant,0.6469709897987446,0.4781649062780758,6176,3200
malignant (99).png,malignant,0.6517325867512312,0.4833852546815237,1886,971
malignant (68).png,malignant,0.6526044602163591,0.48434512434460497,8186,4235
malignant (78).png,malignant,0.6816608996998759,0.517060367559698,2791,4145
malignant (197).png,malignant,0.6835383160260716,0.519223859231185,3503,4953
malignant (44).png,malignant,0.7200854702349971,0.5626043409327175,870,1002
benign (88).png,benign,0.7313284206868494,0.5764521194422443,1869,3152
malignant (161).png,malignant,0.7331300980692815,0.5786940687332605,7320,4817
benign (57).png,benign,0.7332123414399161,0.5787965622080279,422,680
