filename,class,dice,iou,true_px,pred_px
benign (203).png,benign,0.027036641937560182,0.013703570318481144,5546,76
malignant (198).png,malignant,0.042703772623840716,0.02181773616339905,4783,11890
malignant (152).png,malignant,0.2540047647043453,0.14547849824546172,10440,1733
benign (314).png,benign,0.25405201672558386,0.14550949932091764,3833,1473
benign (392).png,benign,0.2547750340242328,0.14598406455298252,10919,1594
benign (427).png,benign,0.4022837067627835,0.25178669619247207,919,3635
malignant (89).png,malignant,0.4097405300811891,0.2576564000298703,11314,3100
malignant (67).png,malignant,0.4205321404025745,0.2662492547307321,1786,6708
benign (120).png,benign,0.42269188050868534,0.2679830757856374,190,709
benign (383).png,benign,0.4649794802007538,0.30291417883406874,3472,11148
benign (141).png,benign,0.5004539870880613,0.3337369995963194,27992,9454
benign (409).png,benign,0.5137452618586926,0.3456643391598245,20044,7129
malignant (96).png,malignant,0.5817030188700157,0.41014190020815805,12037,7540
malignant (161).png,malignant,0.6053570477871368,0.4340588011123285,13017,5762
malignant (191).png,malignant,0.6121399177619787,0.4410674575139443,1789,4043
benign (377).png,benign,0.6355251414354284,0.4657653731069493,1092,2269
malignant (16).png,malignant,0.6363154172667281,0.4666148061944503,12251,21685
benign (331).png,benign,0.6856187292722303,0.5216284991334788,877,917
malignant (64).png,malignant,0.6895694077895898,0.5262158957233176,2808,3625
malignant (112).png,malignant,0.7002928735111315,0.53880821254942,1122,1951
malignant (117).png,malignant,0.703279460269374,0.5423523718435739,3942,2431
benign (202).png,benign,0.703575548208102,0.5427046271482124,348,519
malignant (63).png,malignant,0.7080501579540514,0.5480477143403684,7597,13297
benign (344).png,benign,0.7181701855857053,0.5602695284351711,2389,3863
malignant (159).png,malignant,0.7250665877614153,0.5687093779349498,12121,8153
malignant (44).png,malignant,0.7261423687515877,0.5700341632161864,1520,1697
malignant (166).png,malignant,0.7523980816089934,0.6030754446885751,2051,1285
benign (147).png,benign,0.7543368775857097,0.605570530453216,770,1017
malignant (140).png,malignant,0.7689887247820131,0.6246804885508832,6468,4973
benign (150).png,benign,0.7769571642880987,0.6352657013640925,263,414
malignant (46).png,malignant,0.7922639363385064,0.6559909571755875,2627,1768
malignant (22).png,malignant,0.7955632240672633,0.6605271774999568,8371,11914
malignant (137).png,malignant,0.8165603011013866,0.6899889380673863,19679,16987
malignant (37).png,malignant,0.8170907823406658,0.690746821613981,10976,9105
benign (335).png,benign,0.8196224335373264,0.6943731030365694,3653,3604
malignant (34).png,malignant,0.8268880340500327,0.7048671040024622,2357,2582
benign (88).png,benign,0.8325952170273826,0.7132018210029911,3339,4564
malignant (105).png,malignant,0.8347320852696152,0.7163434904618596,1423,1675
malignant (65).png,malignant,0.8382303276466632,0.7215116280688886,1550,1411
benign (283).png,benign,0.8402684564830413,0.72453703735586,626,864
malignant (144).png,malignant,0.8446001911486269,0.7310025366862798,14623,16767
malignant (125).png,malignant,0.8456598301542034,0.7325915291699241,2755,2072
benign (91).png,benign,0.847001224177477,0.7346072192471185,346,471
benign (334).png,benign,0.8484615385198225,0.7368069474036026,1130,1470
malignant (74).png,malignant,0.8487541047230531,0.7372483222358227,2368,2809
benign (437).png,benign,0.8530805690685295,0.7438016539512329,192,230
malignant (201).png,malignant,0.8615505090109025,0.7567753473822552,11160,14380
benign (41).png,benign,0.8615554329967314,0.7567829457757134,5128,5750
benign (417).png,benign,0.861826697938499,0.7572016462332736,1288,1701
malignant (133).png,malignant,0.8714295406773089,0.7721534207137127,24414,19803
malignant (210).png,malignant,0.8727119516936139,0.7741694352347035,10998,10363
malignant (54).png,malignant,0.8771172368188115,0.7811298433063798,2975,3047
benign (15).png,benign,0.8861878454296267,0.7956349210404069,410,495
benign (398).png,benign,0.8866413822219112,0.7963663891162952,11780,9577
benign (20).png,benign,0.8866855524346823,0.7964376591194073,1897,2339
benign (178).png,benign,0.8902781321905744,0.8022533916297416,3562,4276
benign (98).png,benign,0.8910179640759349,0.8034557235553823,14607,12113
benign (393).png,benign,0.8912981250933413,0.8039114438905369,14383,13565
benign (22).png,benign,0.8928346951771159,0.8064149872817442,2841,3523
malignant (186).png,malignant,0.8956232656566304,0.8109762165483642,18203,18194
malignant (127).png,malignant,0.8961414579669973,0.811826356231059,15125,15301
benign (133).png,benign,0.897338403139412,0.8137931037693222,576,476
malignant (168).png,malignant,0.8977880184378899,0.8145329877235109,10607,11093
benign (332).png,benign,0.8987603306830988,0.8161350847727297,474,494
benign (12).png,benign,0.8988476313715139,0.8162790701946998,404,377
benign (36).png,benign,0.8991017964147379,0.8166983954559833,6056,7304
benign (197).png,benign,0.8994910942115196,0.8173410406735941,795,777
malignant (56).png,malignant,0.9009117873283032,0.8196901549405607,9748,8458
benign (97).png,benign,0.9045924225083471,0.8258044230347129,9003,8417
malignant (55).png,malignant,0.906736993549092,0.8293859649871115,2205,1966
benign (54).png,benign,0.909834909001011,0.8345845198460822,3572,3515
benign (333).png,benign,0.9130515387548154,0.8400136449189811,5303,5485
benign (146).png,benign,0.9163636365157025,0.8456375844106121,277,273
benign (230).png,benign,0.9176167708867935,0.8477743799361963,2533,2905
benign (357).png,benign,0.9213011542703827,0.8540856031838107,1834,1978
benign (307).png,benign,0.9293885601856455,0.8680913781369998,1309,1226
benign (348).png,benign,0.9296875000686644,0.8686131389258884,504,520
benign (17).png,benign,0.9315738025749883,0.8719121684611965,1061,985
benign (185).png,benign,0.9318463445702028,0.872389791479374,391,416
malignant (121).png,malignant,0.9318651067227357,0.8724226805767749,735,718
benign (404).png,benign,0.9320370498073494,0.8727241423891566,21143,22366
benign (31).png,benign,0.9327731093378527,0.8740157483621633,340,374
benign (63).png,benign,0.933333333388203,0.8750000001929013,599,616
benign (378).png,benign,0.9335926646475152,0.875455966714197,1705,1894
benign (151).png,benign,0.942366026347456,0.8910133845296111,484,505
benign (73).png,benign,0.9428004821735505,0.8917904958149337,12981,12736
benign (385).png,benign,0.944431527564652,0.894713656434047,2104,2197
benign (355).png,benign,0.9472571215358093,0.8997991256174172,7736,8342
benign (148).png,benign,0.9477643125892679,0.9007148530974127,2303,2483
benign (284).png,benign,0.9494175841791259,0.9037059538567115,3270,2997
benign (155).png,benign,0.9495641808873155,0.9039716312192948,6511,6912
benign (40).png,benign,0.9497638471662672,0.9043336059653855,1124,1205
benign (403).png,benign,0.9499170404996057,0.9046114232321382,7800,8473
benign (350).png,benign,0.9500111748528637,0.90478217682634,6490,6933
benign (110).png,benign,0.9510104486047043,0.906596683775904,8026,7957
benign (264).png,benign,0.9525909592109261,0.9094736842278519,4994,4983
benign (189).png,benign,0.9570895522788344,0.9177101969271731,521,551
benign (234).png,benign,0.9603932184100019,0.9238043031487181,7032,7006
benign (82).png,benign,0.963292547282916,0.9291845493866161,2210,2285
benign (26).png,benign,0.9672438973525805,0.9365656565741999,7204,7175
benign (186).png,benign,0.9698404785680658,0.9414468908924637,3967,4057
benign (10).png,benign,0.9729102983057963,0.947249589501796,4619,4868
