image,dice,iou,accuracy,hd95_px,precision,recall,cldice
100_D,0.8599,0.7542,0.9798,16.28,0.8662,0.8536,0.8809
101_G,0.5291,0.3597,0.9497,54.56,0.4019,0.7744,0.5139
102_G,0.6753,0.5097,0.9620,58.05,0.6006,0.7711,0.6492
103_G,0.7340,0.5798,0.9611,53.08,0.8425,0.6503,0.7540
104_G,0.8119,0.6834,0.9746,18.03,0.8254,0.7988,0.8443
105_G,0.8373,0.7202,0.9736,24.17,0.8773,0.8009,0.8418
106_G,0.8740,0.7762,0.9776,15.03,0.8883,0.8601,0.8800
107_G,0.8265,0.7042,0.9688,36.24,0.8950,0.7677,0.8251
108_G,0.4693,0.3066,0.9549,179.01,0.3461,0.7286,0.4119
109_G,0.8543,0.7457,0.9749,13.00,0.8532,0.8555,0.8845
10_A,0.7326,0.5780,0.9613,51.76,0.7264,0.7389,0.7435
110_G,0.8325,0.7131,0.9742,25.00,0.8365,0.8285,0.8397
111_G,0.7393,0.5864,0.9660,44.42,0.7570,0.7225,0.7457
112_G,0.7665,0.6215,0.9658,44.27,0.7869,0.7472,0.7840
113_G,0.3764,0.2319,0.9587,120.00,0.2764,0.5897,0.3335
114_G,0.3981,0.2485,0.9550,154.75,0.2869,0.6502,0.3450
115_G,0.8017,0.6691,0.9695,26.91,0.8203,0.7839,0.8080
116_G,0.7189,0.5612,0.9657,74.36,0.7287,0.7094,0.6897
117_G,0.8330,0.7137,0.9767,17.20,0.8503,0.8163,0.8599
118_G,0.8665,0.7644,0.9750,19.72,0.8860,0.8478,0.8688
119_G,0.3034,0.1789,0.9446,172.20,0.2071,0.5673,0.2593
11_A,0.7853,0.6464,0.9646,41.18,0.7812,0.7894,0.7953
120_G,0.7711,0.6275,0.9638,38.59,0.7885,0.7544,0.7735
121_G,0.5729,0.4014,0.9634,117.32,0.4636,0.7497,0.5144
122_G,0.0738,0.0383,0.9320,537.94,0.0412,0.3530,0.0696
123_G,0.1402,0.0754,0.9251,402.06,0.0877,0.3495,0.1314
124_G,0.8239,0.7005,0.9787,33.24,0.8618,0.7892,0.8240
125_G,0.8329,0.7137,0.9725,46.89,0.8684,0.8002,0.8232
126_G,0.6587,0.4911,0.9543,56.94,0.5971,0.7346,0.6612
127_G,0.5703,0.3989,0.9430,60.80,0.4793,0.7041,0.5821
128_G,0.8150,0.6878,0.9751,16.64,0.8816,0.7577,0.8417
129_G,0.5942,0.4227,0.9474,77.83,0.5128,0.7063,0.5817
12_A,0.7743,0.6317,0.9623,35.36,0.7777,0.7710,0.8068
130_G,0.8391,0.7227,0.9746,14.66,0.8893,0.7942,0.8599
131_G,0.8429,0.7285,0.9738,25.08,0.8687,0.8186,0.8578
132_G,0.8225,0.6985,0.9769,14.87,0.8126,0.8327,0.8462
133_G,0.5962,0.4247,0.9744,116.88,0.5345,0.6740,0.5298
134_G,0.8292,0.7083,0.9733,28.79,0.8923,0.7745,0.8303
135_G,0.6687,0.5023,0.9676,68.01,0.6408,0.6992,0.6242
136_G,0.3580,0.2180,0.9473,173.15,0.2500,0.6305,0.3158
137_G,0.4072,0.2557,0.9490,102.20,0.2901,0.6830,0.3330
138_G,0.4509,0.2911,0.9632,149.78,0.3351,0.6890,0.3565
139_G,0.8621,0.7577,0.9739,17.00,0.8933,0.8331,0.8771
13_A,0.8941,0.8085,0.9812,5.39,0.8815,0.9071,0.9326
140_G,0.7355,0.5817,0.9711,34.66,0.6794,0.8018,0.7466
141_G,0.8275,0.7058,0.9729,18.80,0.8427,0.8129,0.8592
142_G,0.8384,0.7218,0.9697,21.63,0.8633,0.8149,0.8589
143_G,0.8399,0.7240,0.9699,28.64,0.8882,0.7965,0.8520
144_G,0.5220,0.3532,0.9469,42.05,0.3999,0.7513,0.5533
145_G,0.5147,0.3465,0.9569,116.05,0.4039,0.7092,0.4977
146_G,0.8252,0.7024,0.9675,24.60,0.8520,0.8001,0.8318
147_G,0.7761,0.6342,0.9689,35.17,0.8173,0.7389,0.7908
148_G,0.6614,0.4941,0.9703,47.01,0.5410,0.8507,0.6312
149_G,0.5366,0.3667,0.9599,94.25,0.4261,0.7246,0.5006
14_A,0.8285,0.7073,0.9695,29.73,0.7871,0.8746,0.8437
150_G,0.8105,0.6814,0.9707,33.02,0.8572,0.7687,0.8131
151_N,0.7313,0.5764,0.9504,34.00,0.7447,0.7183,0.7281
152_N,0.7520,0.6026,0.9582,26.87,0.7390,0.7655,0.7745
153_N,0.5618,0.3906,0.9310,46.82,0.5145,0.6187,0.5578
154_N,0.4733,0.3101,0.9199,55.71,0.3957,0.5890,0.4765
155_N,0.6403,0.4710,0.9571,92.70,0.6132,0.6700,0.6245
156_N,0.6906,0.5275,0.9607,88.28,0.6662,0.7169,0.6603
157_N,0.6388,0.4693,0.9362,45.62,0.6284,0.6495,0.6375
158_N,0.6817,0.5171,0.9469,39.67,0.6701,0.6937,0.6890
159_N,0.7834,0.6439,0.9642,68.39,0.8322,0.7400,0.7662
15_A,0.8672,0.7655,0.9788,15.52,0.8732,0.8612,0.8862
160_N,0.8049,0.6735,0.9675,40.18,0.8662,0.7517,0.8016
161_N,0.7424,0.5903,0.9580,81.52,0.7765,0.7111,0.7333
162_N,0.7605,0.6136,0.9615,38.83,0.7792,0.7427,0.7649
163_N,0.7449,0.5935,0.9627,51.48,0.7631,0.7275,0.7396
164_N,0.6791,0.5141,0.9504,65.19,0.6700,0.6884,0.6839
165_N,0.6575,0.4897,0.9354,38.28,0.6786,0.6376,0.6544
166_N,0.6140,0.4430,0.9280,47.30,0.6257,0.6028,0.5973
167_N,0.6318,0.4618,0.9362,64.35,0.6197,0.6443,0.6149
168_N,0.6202,0.4494,0.9387,51.43,0.6068,0.6342,0.6176
169_N,0.7975,0.6633,0.9666,42.43,0.8920,0.7212,0.8186
16_A,0.7046,0.5439,0.9496,55.20,0.6983,0.7111,0.6783
170_N,0.7759,0.6339,0.9625,40.25,0.8719,0.6990,0.7802
171_N,0.8607,0.7554,0.9742,16.55,0.9001,0.8246,0.8746
172_N,0.8615,0.7568,0.9745,13.60,0.8925,0.8326,0.8881
173_N,0.7125,0.5534,0.9482,36.80,0.7225,0.7028,0.6995
174_N,0.7467,0.5958,0.9531,28.28,0.7744,0.7209,0.7660
175_N,0.6949,0.5324,0.9425,35.36,0.7142,0.6766,0.6801
176_N,0.7171,0.5590,0.9473,32.02,0.7509,0.6863,0.7118
177_N,0.7021,0.5409,0.9440,35.23,0.7184,0.6864,0.6859
178_N,0.7001,0.5385,0.9442,34.79,0.7228,0.6787,0.6858
179_N,0.8629,0.7589,0.9757,16.64,0.8914,0.8363,0.8775
17_A,0.7460,0.5949,0.9577,51.86,0.8019,0.6974,0.7583
180_N,0.8136,0.6858,0.9699,26.57,0.8269,0.8008,0.8303
181_N,0.8615,0.7566,0.9785,14.14,0.9015,0.8248,0.8923
182_N,0.8625,0.7582,0.9759,16.98,0.9233,0.8092,0.8817
183_N,0.7979,0.6637,0.9695,53.02,0.8637,0.7413,0.7894
184_N,0.8593,0.7533,0.9756,20.00,0.9051,0.8179,0.8774
185_N,0.7025,0.5414,0.9465,40.50,0.7113,0.6939,0.6932
186_N,0.6977,0.5358,0.9463,38.91,0.7091,0.6867,0.6816
187_N,0.7811,0.6408,0.9613,26.17,0.7817,0.7805,0.7874
188_N,0.7229,0.5661,0.9484,28.23,0.7540,0.6943,0.7370
189_N,0.7550,0.6065,0.9547,27.86,0.7554,0.7547,0.7633
18_A,0.5450,0.3745,0.9494,149.00,0.4633,0.6615,0.5383
190_N,0.7247,0.5683,0.9520,49.68,0.7556,0.6963,0.7302
191_N,0.6865,0.5226,0.9440,34.13,0.6700,0.7038,0.6859
192_N,0.6563,0.4884,0.9382,35.17,0.6423,0.6709,0.6615
193_N,0.8462,0.7334,0.9722,26.68,0.8916,0.8052,0.8474
194_N,0.8428,0.7284,0.9716,32.25,0.8876,0.8023,0.8448
195_N,0.8224,0.6984,0.9679,20.22,0.8604,0.7877,0.8483
196_N,0.8574,0.7504,0.9761,17.00,0.8795,0.8364,0.8750
197_N,0.7553,0.6069,0.9589,60.03,0.7997,0.7156,0.7641
198_N,0.8441,0.7303,0.9723,23.09,0.8652,0.8240,0.8623
199_N,0.7482,0.5977,0.9521,36.36,0.7411,0.7555,0.7349
19_A,0.7152,0.5567,0.9608,48.70,0.6799,0.7544,0.7032
1_A,0.8158,0.6889,0.9656,34.93,0.9020,0.7447,0.8117
200_N,0.7467,0.5958,0.9506,27.29,0.7623,0.7318,0.7448
20_A,0.8184,0.6926,0.9666,29.07,0.8052,0.8320,0.8286
21_A,0.6568,0.4890,0.9474,51.24,0.6223,0.6953,0.6437
22_A,0.8457,0.7327,0.9726,23.09,0.8287,0.8635,0.8680
23_A,0.6826,0.5182,0.9437,24.00,0.6689,0.6969,0.6979
24_A,0.6027,0.4313,0.9444,64.03,0.5166,0.7231,0.6066
25_A,0.7725,0.6293,0.9663,28.00,0.7431,0.8043,0.7923
26_A,0.8730,0.7746,0.9776,16.00,0.8782,0.8679,0.8801
27_A,0.5971,0.4256,0.9630,171.07,0.5571,0.6434,0.5279
28_A,0.8112,0.6824,0.9716,52.04,0.8286,0.7945,0.8004
29_A,0.7861,0.6475,0.9682,38.19,0.8012,0.7715,0.7792
2_A,0.7841,0.6449,0.9617,43.29,0.8794,0.7074,0.7748
30_A,0.7787,0.6377,0.9671,29.53,0.7602,0.7982,0.7699
31_A,0.8577,0.7508,0.9746,20.00,0.8780,0.8383,0.8581
32_A,0.8405,0.7249,0.9718,25.55,0.8344,0.8467,0.8572
33_A,0.8262,0.7039,0.9642,27.59,0.8815,0.7774,0.8021
34_A,0.6674,0.5008,0.9443,55.44,0.6050,0.7441,0.6665
35_A,0.8608,0.7557,0.9746,20.59,0.8664,0.8554,0.8735
36_A,0.8641,0.7607,0.9760,19.42,0.8718,0.8565,0.8738
37_A,0.5660,0.3947,0.9582,131.93,0.4638,0.7258,0.4863
38_A,0.7028,0.5417,0.9543,49.82,0.6307,0.7935,0.7321
39_A,0.7519,0.6024,0.9617,41.23,0.7135,0.7946,0.7595
3_A,0.8405,0.7249,0.9663,25.96,0.9250,0.7702,0.8114
40_A,0.7753,0.6331,0.9651,53.08,0.7172,0.8437,0.7756
41_A,0.7519,0.6024,0.9597,35.38,0.7651,0.7391,0.7615
42_A,0.7064,0.5461,0.9537,37.48,0.6962,0.7169,0.7275
43_A,0.6416,0.4723,0.9505,52.89,0.5922,0.7001,0.6575
44_A,0.7979,0.6637,0.9624,24.04,0.7753,0.8217,0.8368
45_A,0.7634,0.6174,0.9667,52.70,0.6953,0.8462,0.7777
46_A,0.6060,0.4348,0.9392,77.93,0.5563,0.6656,0.5878
47_A,0.6860,0.5220,0.9625,57.98,0.5798,0.8397,0.6794
48_A,0.8398,0.7238,0.9716,26.00,0.8353,0.8443,0.8568
49_A,0.8647,0.7616,0.9760,10.05,0.8591,0.8703,0.9022
4_A,0.8153,0.6882,0.9699,26.63,0.8318,0.7995,0.7894
