image,category,model,dice,iou,hd95,cldice,precision,recall,specificity,accuracy
100_D,Diabetic Retinopathy,benchmark,0.7323,0.5776,26.87,0.7451,0.9761,0.5859,0.9989,0.9700
100_D,Diabetic Retinopathy,proposed,0.8613,0.7565,13.89,0.8593,0.9004,0.8255,0.9931,0.9814
100_D,Diabetic Retinopathy,pruned,0.9319,0.8725,1.00,0.9474,0.9184,0.9458,0.9937,0.9903
101_G,Glaucoma,benchmark,0.3360,0.2019,71.44,0.3723,0.9214,0.2055,0.9994,0.9717
101_G,Glaucoma,proposed,0.5736,0.4021,60.21,0.5423,0.8902,0.4231,0.9981,0.9781
101_G,Glaucoma,pruned,0.8339,0.7152,10.81,0.8478,0.8336,0.8343,0.9940,0.9884
102_G,Glaucoma,benchmark,0.5010,0.3342,53.10,0.4682,0.8666,0.3524,0.9972,0.9658
102_G,Glaucoma,proposed,0.6295,0.4593,83.54,0.5617,0.8929,0.4861,0.9970,0.9721
102_G,Glaucoma,pruned,0.8563,0.7487,8.04,0.8435,0.8705,0.8425,0.9936,0.9862
103_G,Glaucoma,benchmark,0.0944,0.0496,166.27,0.1383,0.9952,0.0496,1.0000,0.9235
103_G,Glaucoma,proposed,0.3711,0.2278,60.16,0.3930,0.9357,0.2314,0.9986,0.9369
103_G,Glaucoma,pruned,0.8166,0.6900,8.49,0.8624,0.9544,0.7135,0.9970,0.9742
104_G,Glaucoma,benchmark,0.5990,0.4275,38.04,0.5841,0.9812,0.4311,0.9994,0.9624
104_G,Glaucoma,proposed,0.7214,0.5643,25.06,0.7087,0.8731,0.6146,0.9938,0.9691
104_G,Glaucoma,pruned,0.9024,0.8222,1.41,0.9220,0.9135,0.8915,0.9941,0.9874
105_G,Glaucoma,benchmark,0.7396,0.5868,22.20,0.7514,0.9873,0.5913,0.9993,0.9661
105_G,Glaucoma,proposed,0.8750,0.7778,8.00,0.8733,0.9142,0.8390,0.9930,0.9805
105_G,Glaucoma,pruned,0.9425,0.8912,1.00,0.9568,0.9385,0.9464,0.9945,0.9906
106_G,Glaucoma,benchmark,0.8444,0.7307,12.37,0.8328,0.9803,0.7416,0.9986,0.9762
106_G,Glaucoma,proposed,0.9128,0.8395,1.41,0.9282,0.9010,0.9249,0.9903,0.9846
106_G,Glaucoma,pruned,0.9461,0.8977,1.00,0.9524,0.9294,0.9635,0.9930,0.9904
107_G,Glaucoma,benchmark,0.7940,0.6584,19.10,0.7917,0.9553,0.6793,0.9967,0.9671
107_G,Glaucoma,proposed,0.8710,0.7715,4.24,0.8971,0.8462,0.8974,0.9832,0.9752
107_G,Glaucoma,pruned,0.9364,0.8805,1.00,0.9599,0.9168,0.9569,0.9911,0.9879
108_G,Glaucoma,benchmark,0.3139,0.1862,86.36,0.3660,0.8848,0.1908,0.9993,0.9780
108_G,Glaucoma,proposed,0.6902,0.5270,60.44,0.6679,0.8991,0.5601,0.9983,0.9867
108_G,Glaucoma,pruned,0.8021,0.6696,22.02,0.7958,0.8901,0.7299,0.9976,0.9905
109_G,Glaucoma,benchmark,0.8323,0.7128,10.82,0.8361,0.9548,0.7377,0.9969,0.9755
109_G,Glaucoma,proposed,0.8902,0.8021,4.24,0.8975,0.8908,0.8896,0.9902,0.9819
109_G,Glaucoma,pruned,0.9392,0.8853,1.00,0.9533,0.9308,0.9476,0.9937,0.9899
10_A,AMD,benchmark,0.6177,0.4469,42.32,0.6529,0.9798,0.4510,0.9993,0.9612
10_A,AMD,proposed,0.7649,0.6194,25.00,0.7675,0.9175,0.6559,0.9956,0.9720
10_A,AMD,pruned,0.8889,0.8001,6.40,0.8981,0.9044,0.8740,0.9931,0.9848
110_G,Glaucoma,benchmark,0.7508,0.6010,24.19,0.7640,0.9688,0.6128,0.9984,0.9698
110_G,Glaucoma,proposed,0.8674,0.7659,9.22,0.8599,0.9023,0.8352,0.9927,0.9810
110_G,Glaucoma,pruned,0.9301,0.8693,1.00,0.9429,0.9249,0.9353,0.9939,0.9896
111_G,Glaucoma,benchmark,0.4350,0.2779,122.07,0.4120,0.9802,0.2795,0.9996,0.9535
111_G,Glaucoma,proposed,0.6994,0.5378,43.83,0.6847,0.8825,0.5793,0.9947,0.9681
111_G,Glaucoma,pruned,0.8630,0.7590,11.66,0.8634,0.9147,0.8168,0.9948,0.9834
112_G,Glaucoma,benchmark,0.5734,0.4019,48.41,0.5838,0.9227,0.4159,0.9973,0.9552
112_G,Glaucoma,proposed,0.7492,0.5990,36.12,0.7422,0.9109,0.6363,0.9951,0.9692
112_G,Glaucoma,pruned,0.9265,0.8631,1.00,0.9485,0.9116,0.9419,0.9929,0.9892
113_G,Glaucoma,benchmark,0.0254,0.0129,244.80,0.0355,0.2408,0.0134,0.9991,0.9790
113_G,Glaucoma,proposed,0.1557,0.0844,273.37,0.1347,0.9680,0.0847,0.9999,0.9812
113_G,Glaucoma,pruned,0.6234,0.4529,29.07,0.6479,0.9216,0.4710,0.9992,0.9884
114_G,Glaucoma,benchmark,0.0000,0.0000,373.19,0.0000,0.0000,0.0000,0.9977,0.9755
114_G,Glaucoma,proposed,0.0868,0.0454,196.46,0.1097,0.6530,0.0465,0.9994,0.9783
114_G,Glaucoma,pruned,0.6685,0.5020,20.54,0.7547,0.9066,0.5294,0.9988,0.9883
115_G,Glaucoma,benchmark,0.7342,0.5800,21.21,0.7290,0.9563,0.5958,0.9978,0.9676
